SonnetID	joy	sadness	anger	fear	disgust
EstebanManuelDeVillegas_2	2	0	0	0	0
EstebanManuelDeVillegas_3	1	1	0	1	0
EstebanManuelDeVillegas_4	1	0	0	0	0
EstebanManuelDeVillegas_5	1	0	0	0	0
EstebanManuelDeVillegas_6	2	0	0	0	0
EstebanManuelDeVillegas_7	0	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_100	0	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_101	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_102	1	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_104	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_105	2	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_108	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_11	0	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_112	3	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_113	0	1	1	0	0
FcodeBorjaYAragonPrincipeEsquilache_115	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_116	1	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_118	1	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_119	0	0	1	0	0
FcodeBorjaYAragonPrincipeEsquilache_12	1	2	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_120	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_121	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_122	3	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_125	1	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_126	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_127	0	2	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_129	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_130	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_131	0	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_132	3	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_134	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_135	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_136	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_138	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_139	1	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_14	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_140	2	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_141	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_16	0	2	1	1	1
FcodeBorjaYAragonPrincipeEsquilache_18	0	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_19	0	0	1	1	0
FcodeBorjaYAragonPrincipeEsquilache_2	1	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_21	0	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_23	0	2	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_24	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_27	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_28	1	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_29	1	1	1	1	0
FcodeBorjaYAragonPrincipeEsquilache_3	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_33	0	0	1	0	0
