sID	_m	o0	o1	o9	s0	s1	s9	oa0	oa1	sa0	sa1	oms1	oms0	oms10	oms01	o1s1mo0s0	ov	sv	oa	sa	omsv	omsa
s337g_0789	both	3	5		2	4		1	7		6	1	1	3	-1	4	0.5334	0.5869	0.5426	0.6933	-0.0535	-0.1507
LopeDeVega_73	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5236	0.5771	0.5115	0.6496	-0.0535	-0.1381
FranciscoDeLaTorre_12	both	1	5	2	2	4		2	6		6	1	-1	3	-3	6	0.6352	0.6892	0.5345	0.4215	-0.0539	0.1130
LopeDeVega_689	both	3	5		2	4			8		6	1	1	3	-1	4	0.5342	0.5883	0.5337	0.5447	-0.0541	-0.0110
GarcilasoDeLaVega_21	both	1	6	1	1	5		1	7		6	1	0	5	-4	9	0.6038	0.6582	0.6079	0.4801	-0.0544	0.1278
BocangelYUnzueta_74	both	4	4		3	3			8		6	1	1	1	1	0	0.4666	0.5221	0.6094	0.6217	-0.0555	-0.0124
JuanDeTassisYPeralta_189	both	1	6	1	1	5		1	7		6	1	0	5	-4	9	0.5856	0.6418	0.4930	0.4982	-0.0562	-0.0052
Quevedo_455	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5470	0.6033	0.5674	0.5055	-0.0563	0.0618
MiraDeAmescua_5	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5893	0.6459	0.5771	0.4936	-0.0565	0.0835
LopeDeVega_449	both	3	5		2	4			8		6	1	1	3	-1	4	0.4976	0.5550	0.5984	0.5501	-0.0574	0.0483
TrilloYFigueroa_18	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.4760	0.5335	0.6043	0.5484	-0.0575	0.0559
DiegoXimenezAyllon_53	both	2	5	1	1	4	1	1	7	1	5	1	1	4	-2	6	0.6062	0.6647	0.5345	0.4983	-0.0585	0.0362
JuanBoscan_12	both	3	5		2	4			8		6	1	1	3	-1	4	0.5618	0.6205	0.6406	0.6258	-0.0587	0.0148
Quevedo_450	both	2	5	1	2	4		1	7		6	1	0	3	-2	5	0.5058	0.5654	0.5865	0.5660	-0.0596	0.0206
LopeDeVega_1167	both	3	4	1	2	3	1	1	7	1	5	1	1	2	0	2	0.4914	0.5521	0.5499	0.4947	-0.0607	0.0552
FernandoDeHerrera_293	both	2	5	1	1	4	1	1	7	1	5	1	1	4	-2	6	0.6302	0.6910	0.5610	0.5387	-0.0608	0.0223
LopeDeZarate_47	both	3	4	1	2	3	1	1	7	1	5	1	1	2	0	2	0.5359	0.5969	0.6030	0.5603	-0.0610	0.0428
FranciscoDeAldana_4	both	3	4	1	3	3		1	7		6	1	0	1	0	1	0.4614	0.5227	0.6486	0.5799	-0.0613	0.0687
AntonioEnriquezGomez_35	both	2	6		1	5			8		6	1	1	5	-3	8	0.6401	0.7022	0.4787	0.4228	-0.0620	0.0559
LopeDeZarate_55	both	2	6		1	5			8		6	1	1	5	-3	8	0.6401	0.7022	0.4787	0.4228	-0.0620	0.0559
LopeDeVega_651	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5298	0.5918	0.6007	0.6304	-0.0621	-0.0296
JuanDeTassisYPeralta_80	both	4	4		2	3	1		8	1	5	1	2	2	1	1	0.4627	0.5248	0.6415	0.4763	-0.0621	0.1652
s171g_0336	both	2	5	1	1	4	1	1	7	1	5	1	1	4	-2	6	0.5696	0.6318	0.5403	0.4975	-0.0622	0.0428
s246g_0513	both	2	5	1	1	4	1	1	7	1	5	1	1	4	-2	6	0.5580	0.6204	0.5001	0.4965	-0.0624	0.0036
GutierreDeCetina_40	both	2	6		1	5			8	1	5	1	1	5	-3	8	0.6059	0.6687	0.5735	0.5159	-0.0628	0.0576
s041g_0067	both	3	5		1	4	1		8	2	4	1	2	4	-1	5	0.5264	0.5893	0.6043	0.5259	-0.0629	0.0785
LopeDeVega_554	both	2	6		1	5		1	7		6	1	1	5	-3	8	0.6042	0.6673	0.5329	0.5957	-0.0631	-0.0628
s212g_0452	both	2	6		1	5		1	7		6	1	1	5	-3	8	0.6042	0.6673	0.5329	0.5957	-0.0631	-0.0628
s121g_0244	both	4	3	1	3	2	1	2	6	1	5	1	1	0	2	-2	0.4079	0.4716	0.5461	0.6448	-0.0637	-0.0987
LopeDeVega_1039	both	2	5	1	1	4	1	1	7	1	5	1	1	4	-2	6	0.6375	0.7014	0.4305	0.5100	-0.0639	-0.0795
FcodeBorjaYAragonPrincipeEsquilache_85	both	2	5	1	1	4	1	1	7	2	4	1	1	4	-2	6	0.5783	0.6422	0.5664	0.5535	-0.0639	0.0129
GutierreDeCetina_210	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5725	0.6364	0.6002	0.4681	-0.0640	0.1321
FranciscoDeFigueroa_7	both	3	4	1	3	3		1	7		6	1	0	1	0	1	0.3922	0.4565	0.6014	0.5837	-0.0644	0.0178
BocangelYUnzueta_64	both	3	4	1	3	3		1	7		6	1	0	1	0	1	0.4591	0.5235	0.5771	0.5295	-0.0644	0.0476
Quevedo_433	left_only	1	5	2	1	4	1					1	0	4	-3	7	0.6466	0.7110			-0.0644	
s244g_0510_07	both	2	6		1	5			8		6	1	1	5	-3	8	0.6043	0.6694	0.5559	0.5278	-0.0651	0.0280
JuanDeTassisYPeralta_38	both	3	4	1	3	3		1	7		6	1	0	1	0	1	0.4619	0.5270	0.5957	0.5150	-0.0651	0.0807
JuanDeArguijo_46	both	3	5		2	4			8		6	1	1	3	-1	4	0.5270	0.5924	0.5884	0.6593	-0.0653	-0.0709
FranciscoDeLaTorre_26	both	2	5	1	2	4		1	7	1	5	1	0	3	-2	5	0.5388	0.6044	0.5302	0.5308	-0.0656	-0.0005
LopeDeVega_110	both	4	4		2	3	1		8	1	5	1	2	2	1	1	0.4745	0.5401	0.5771	0.5702	-0.0656	0.0069
LopeDeVega_1162	both	2	6		1	5			8		6	1	1	5	-3	8	0.6326	0.6992	0.5727	0.4846	-0.0665	0.0881
LopeDeVega_939	left_only	1	5	2	1	4	1					1	0	4	-3	7	0.6288	0.6956			-0.0668	
LopeDeVega_400	both	3	4	1	2	3	1	1	7	1	5	1	1	2	0	2	0.5110	0.5783	0.5947	0.5586	-0.0673	0.0361
ArgensolaBartolome_102	both	3	5		2	4			8		6	1	1	3	-1	4	0.4984	0.5660	0.5018	0.4891	-0.0676	0.0126
LopeDeVega_965	both	1	6	1	1	5		1	7		6	1	0	5	-4	9	0.5902	0.6577	0.4940	0.4641	-0.0676	0.0300
JosephDeLitalaYCastelvi_99	both	2	5	1	1	4	1	2	6	1	5	1	1	4	-2	6	0.5811	0.6489	0.6267	0.5068	-0.0677	0.1199
s023g_0043	both	2	5	1	1	4	1	1	7	1	5	1	1	4	-2	6	0.5787	0.6465	0.5366	0.4811	-0.0678	0.0554
Quevedo_43	both	3	4	1	3	3		1	7		6	1	0	1	0	1	0.4459	0.5138	0.6302	0.6537	-0.0679	-0.0235
JuanDeTassisYPeralta_9	both	4	3	1	4	2		1	7		6	1	0	-1	2	-3	0.4440	0.5123	0.6393	0.6359	-0.0683	0.0034
JosephDeLitalaYCastelvi_50	both	4	4		3	3			8		6	1	1	1	1	0	0.4502	0.5188	0.5778	0.5973	-0.0687	-0.0195
JuanaInesDeLaCruz_11	both	2	5	1	1	4	1	1	7	2	4	1	1	4	-2	6	0.5869	0.6562	0.6039	0.5897	-0.0693	0.0141
LopeDeZarate_33	both	3	4	1	2	3	1	1	7	1	5	1	1	2	0	2	0.5063	0.5761	0.5703	0.4811	-0.0697	0.0891
LopeDeVega_447	both	2	6		1	5			8		6	1	1	5	-3	8	0.5828	0.6529	0.5355	0.5095	-0.0701	0.0260
LopeDeVega_497	both	2	6		1	5			8		6	1	1	5	-3	8	0.5909	0.6614	0.5158	0.5674	-0.0704	-0.0516
s168g_0333	both	2	5	1	1	4	1	1	7	1	5	1	1	4	-2	6	0.6260	0.6969	0.4842	0.3750	-0.0710	0.1092
LuisDeUlloaYPereira_36	both	4	4		2	3	1		8	1	5	1	2	2	1	1	0.4664	0.5376	0.6059	0.6074	-0.0712	-0.0015
GutierreDeCetina_240	both	3	5		2	4			8	1	5	1	1	3	-1	4	0.5438	0.6156	0.5901	0.5290	-0.0718	0.0611
FernandoDeHerrera_58	both	2	6		1	5			8		6	1	1	5	-3	8	0.6454	0.7172	0.5594	0.3983	-0.0718	0.1611
FernandoDeHerrera_141	both	4	4		2	3	1	1	7	1	5	1	2	2	1	1	0.4261	0.4981	0.6457	0.5574	-0.0720	0.0883
LopeDeVega_1208	both	1	6	1	1	5		1	7		6	1	0	5	-4	9	0.5984	0.6705	0.4699	0.5319	-0.0721	-0.0620
LopeDeVega_27	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5502	0.6224	0.6775	0.6590	-0.0723	0.0185
FcodeBorjaYAragonPrincipeEsquilache_8	both	3	5		2	4			8	1	5	1	1	3	-1	4	0.5179	0.5912	0.5944	0.5220	-0.0732	0.0724
LopeDeVega_867	both	4	4		3	3			8		6	1	1	1	1	0	0.4561	0.5293	0.5614	0.5377	-0.0733	0.0237
LopeDeVega_370	both	1	5	2	1	4	1	2	6	1	5	1	0	4	-3	7	0.5176	0.5913	0.5284	0.5095	-0.0736	0.0189
PedroEspinosa_12	both	4	4		3	3			8		6	1	1	1	1	0	0.4322	0.5064	0.5682	0.6035	-0.0742	-0.0353
LopeDeVega_458	both	3	4	1	3	3		1	7		6	1	0	1	0	1	0.4566	0.5310	0.5923	0.5366	-0.0744	0.0557
LopeDeVega_1096	both	3	5		1	4			8		5	1	2	4	-1	5	0.5430	0.6178	0.5998	0.5929	-0.0748	0.0069
GutierreDeCetina_148	both	3	3	2	3	2	1	2	6	2	4	1	0	0	1	-1	0.4544	0.5293	0.6125	0.6482	-0.0749	-0.0357
s418g_0913	both	3	5		1	4	1		8	2	4	1	2	4	-1	5	0.5564	0.6317	0.5949	0.6613	-0.0753	-0.0665
HernandodeAcunya_20	both	3	4	1	2	3	1	2	6	1	5	1	1	2	0	2	0.5277	0.6033	0.6785	0.4278	-0.0756	0.2507
FcodeBorjaYAragonPrincipeEsquilache_23	both	5	3		4	2			8		6	1	1	-1	3	-4	0.3627	0.4384	0.6757	0.7187	-0.0757	-0.0430
LopeDeVega_1251	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5503	0.6260	0.5604	0.5804	-0.0757	-0.0200
s290g_0608	both	1	6	1	1	5		1	7		6	1	0	5	-4	9	0.5738	0.6497	0.5753	0.4811	-0.0759	0.0942
Quevedo_446	both	3	5		2	4			8		6	1	1	3	-1	4	0.5470	0.6231	0.6016	0.5849	-0.0762	0.0167
GarcilasoDeLaVega_04	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5059	0.5822	0.5270	0.5909	-0.0763	-0.0640
LopeDeVega_838	both	4	3	1	4	2		1	7		6	1	0	-1	2	-3	0.4161	0.4926	0.6265	0.5704	-0.0764	0.0560
TirsoDeMolina_17	both	2	6		1	5			8	2	4	1	1	5	-3	8	0.5621	0.6389	0.5902	0.5887	-0.0768	0.0016
s483g_1009	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.4930	0.5702	0.5257	0.4837	-0.0772	0.0420
ArgensolaBartolome_154	both	3	5		1	4	1	2	6	1	5	1	2	4	-1	5	0.5248	0.6029	0.4764	0.4464	-0.0781	0.0299
LuisCarrilloySotomayor_9	both	3	5		1	4	1		8	2	4	1	2	4	-1	5	0.5866	0.6651	0.5214	0.5656	-0.0785	-0.0442
MiraDeAmescua_4	both	3	3	2	4	2		2	6		6	1	-1	-1	1	-2	0.3833	0.4621	0.6051	0.6435	-0.0789	-0.0385
GutierreDeCetina_76	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5608	0.6403	0.6452	0.5929	-0.0794	0.0523
JuanDeSalinas_4	both	4	4		2	3	1	1	7	2	4	1	2	2	1	1	0.4943	0.5739	0.5044	0.7145	-0.0796	-0.2101
LopeDeVega_1170	both	4	4		2	3	1		8	1	5	1	2	2	1	1	0.4617	0.5417	0.5527	0.6355	-0.0800	-0.0828
JuanDeTassisYPeralta_28	both	3	5		1	4	1	1	7	1	5	1	2	4	-1	5	0.5519	0.6332	0.5996	0.5606	-0.0813	0.0390
LopeDeVega_1122	both	3	5		1	4	1	1	7	1	5	1	2	4	-1	5	0.5612	0.6433	0.4976	0.6085	-0.0821	-0.1109
PedroSotoDeRojas_4	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5392	0.6217	0.6025	0.6397	-0.0825	-0.0372
s007g_0015	both	3	5		2	4			8		6	1	1	3	-1	4	0.4723	0.5552	0.6278	0.5894	-0.0829	0.0385
LopeDeVega_1139	both	2	6		1	5			8		6	1	1	5	-3	8	0.5174	0.6004	0.5605	0.5879	-0.0831	-0.0275
s396g_0884	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5763	0.6604	0.5461	0.6167	-0.0840	-0.0706
s396g_0887	both	3	5		1	4	1		8	1	5	1	2	4	-1	5	0.5763	0.6604	0.5461	0.6167	-0.0840	-0.0706
Gongora_103	both	2	6		1	5			8		6	1	1	5	-3	8	0.5806	0.6645	0.5539	0.5426	-0.0840	0.0113
BocangelYUnzueta_60	both	4	3	1	3	2	1	1	7	1	5	1	1	0	2	-2	0.3540	0.4390	0.7226	0.5759	-0.0849	0.1467
LopezDeMendoza_5	left_only	2	4	2	2	3	1					1	0	2	-1	3	0.5030	0.5880			-0.0850	
FranciscoDeLaTorre_71	both	3	4	1	3	3		2	6		6	1	0	1	0	1	0.4422	0.5278	0.6201	0.6361	-0.0856	-0.0160
LopeDeVega_413	both	2	6		1	5			8		6	1	1	5	-3	8	0.5809	0.6667	0.4663	0.6371	-0.0858	-0.1708
LopeDeVega_585	both	3	5		2	4			8		6	1	1	3	-1	4	0.5542	0.6408	0.4847	0.5043	-0.0865	-0.0196
